date,open,high,low,close,vol,amount
2024-12-27,3987.02,4007.13,3970.94,3981.03,1692686.0,345011060736.0
2024-12-30,3976.7,4005.78,3976.7,3999.05,1646124.0,322699395072.0
2024-12-31,3995.87,4004.35,3934.91,3934.91,1839284.0,347880423424.0
2025-01-02,3931.82,3934.2,3796.34,3820.4,2178987.0,388636573696.0
2025-01-03,3825.24,3835.94,3767.67,3775.16,1753426.0,304322740224.0
2025-01-06,3775.99,3788.85,3743.07,3768.97,1509466.0,262803537920.0
2025-01-07,3760.87,3797.6,3749.06,3796.11,1464557.0,266855792640.0
2025-01-08,3781.26,3810.74,3731.19,3789.22,1691669.0,300965724160.0
2025-01-09,3780.73,3795.26,3768.68,3779.88,1297940.0,251485995008.0
2025-01-10,3778.89,3786.81,3732.48,3732.48,1375231.0,275354222592.0
2025-01-13,3704.44,3737.89,3704.11,3722.51,1364461.0,247861952512.0
2025-01-14,3728.56,3826.64,3718.88,3820.54,1706646.0,345461489664.0
2025-01-15,3810.04,3816.83,3790.17,3796.03,1414755.0,278850600960.0
2025-01-16,3812.19,3842.95,3776.29,3800.38,1445058.0,305734615040.0
2025-01-17,3788.37,3831.64,3780.21,3812.34,1266219.0,265437495296.0
2025-01-20,3835.3,3858.67,3821.98,3829.68,1395812.0,292175446016.0
2025-01-21,3850.36,3850.91,3817.12,3832.61,1412184.0,285073342464.0
2025-01-22,3823.94,3823.94,3783.14,3797.02,1372550.0,298745626624.0
2025-01-23,3829.05,3864.26,3801.85,3803.74,1805695.0,345198067712.0
2025-01-24,3793.85,3847.6,3793.48,3832.86,1489717.0,296474378240.0
2025-01-27,3836.96,3852.0,3817.08,3817.08,1466707.0,282940112896.0
2025-02-05,3844.7,3844.7,3785.16,3795.08,1571683.0,346016186368.0
2025-02-06,3789.61,3843.49,3788.32,3842.83,1672881.0,371891961856.0
2025-02-07,3844.06,3919.35,3833.87,3892.7,2218577.0,487381565440.0
2025-02-10,3898.1,3906.37,3878.83,3901.06,1889030.0,384968327168.0
2025-02-11,3905.16,3905.16,3872.91,3883.14,1665749.0,337866063872.0
2025-02-12,3875.96,3920.72,3867.35,3919.86,1642285.0,354830581760.0
2025-02-13,3913.9,3939.2,3904.98,3905.14,1724858.0,376473452544.0
2025-02-14,3900.83,3942.04,3900.83,3939.01,1729764.0,360974221312.0
2025-02-17,3954.41,3955.9,3921.7,3947.4,2135882.0,430929575936.0
2025-02-18,3942.58,3965.42,3901.87,3912.78,2094251.0,400186245120.0
2025-02-19,3906.22,3943.67,3904.15,3940.16,1828295.0,363680366592.0
2025-02-20,3934.65,3940.68,3916.18,3928.9,1638952.0,325972426752.0
2025-02-21,3938.05,3981.05,3927.79,3978.44,2274003.0,504645484544.0
2025-02-24,3972.48,3995.95,3949.23,3969.72,2208106.0,455088734208.0
2025-02-25,3933.64,3955.43,3915.65,3925.65,1781085.0,377981435904.0
2025-02-26,3931.84,3960.33,3925.37,3959.94,1910625.0,386458189824.0
2025-02-27,3961.06,3973.93,3933.46,3968.12,2028879.0,428272779264.0
2025-02-28,3950.19,3972.48,3886.4,3890.05,1981041.0,420308058112.0
2025-03-03,3899.7,3930.0,3872.59,3888.47,1776231.0,356057743360.0
2025-03-04,3865.99,3890.42,3855.73,3885.22,1498509.0,297739255808.0
2025-03-05,3887.8,3906.42,3877.02,3902.57,1586527.0,290860498944.0
2025-03-06,3923.38,3964.49,3917.08,3956.24,1939609.0,397419413504.0
2025-03-07,3944.91,3967.07,3935.05,3944.01,1667323.0,340626702336.0
2025-03-10,3945.58,3949.14,3905.13,3928.8,1527652.0,292574986240.0
2025-03-11,3890.43,3941.42,3889.43,3941.42,1447544.0,287480446976.0
2025-03-12,3946.86,3953.61,3921.47,3927.23,1567321.0,309627256832.0
2025-03-13,3925.74,3939.29,3897.38,3911.58,1565364.0,295173128192.0
2025-03-14,3919.62,4014.16,3919.62,4006.56,2161390.0,450895282176.0
